fitted_strain	fitted_stressMPa
128.026316143997	0.002
132.147377437381	0.004
136.165805213531	0.006
140.084155522481	0.008
143.904920756779	0.01
147.630531236851	0.012
151.263356756886	0.014
154.805708092221	0.016
158.259838469181	0.018
161.627944998317	0.02
164.912170071951	0.022
168.11460272691	0.024
171.237279973325	0.026
174.282188090342	0.028
177.251263889551	0.03
180.146395946963	0.032
182.969425804298	0.034
185.722149140353	0.036
188.406316913207	0.038
191.023636473972	0.04
193.575772652807	0.042
196.064348817886	0.044
198.490947907997	0.046
200.857113439418	0.048
203.164350487724	0.05
205.414126645132	0.052
207.607872954017	0.054
209.746984817168	0.056
211.83282288538	0.058
213.866713922942	0.06
215.849951651563	0.062
217.783797573291	0.064
219.669481772926	0.066
221.508203700461	0.068
223.301132934027	0.07
225.04940992384	0.072
226.754146717623	0.074
228.41642766796	0.076
230.037310122031	0.078
231.617825094175	0.08
233.158977921695	0.082
234.66174890434	0.084
236.127093927852	0.086
237.555945071994	0.088
238.949211203419	0.09
240.307778553795	0.092
241.632511283513	0.094
242.924252031368	0.096
244.183822450547	0.098
245.412023731263	0.1
246.609637110383	0.102
247.777424368357	0.104
248.916128313774	0.106
250.026473255844	0.108
251.109165465127	0.11
252.164893622772	0.112
253.194329258575	0.114
254.198127178134	0.116
255.17692587935	0.118
256.131347958571	0.12
257.062000506609	0.122
257.969475494905	0.124
258.854350152068	0.126
259.71718733104	0.128
260.558535867119	0.13
261.378930927058	0.132
262.178894349482	0.134
262.958934976816	0.136
263.719548978952	0.138
264.46122016885	0.14
265.18442031029	0.142
265.889609417946	0.144
266.577236049997	0.146
267.247737593444	0.148
267.901540542326	0.15
268.314906378302	0.151291029
